% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	238.77	0
0.322	1	0	2	151.492	0
0.323	1	0	3	181.284	0
0.324	1	0	4	213.406	0
0.325	1	0	5	252.559	0
0.326	1	0	6	5324.31	0
0.327	1	0	7	151.196	0
0.328	1	0	8	237.151	0
0.329	1	0	9	180.791	0
0.33	1	0	10	1218.17	0
0.331	1	0	11	213.676	0
0.332	1	0	12	182.033	0
0.333	1	0	13	217.889	0
0.334	1	0	14	158.496	0
0.335	1	0	15	188.674	0
0.336	1	0	16	627.805	0
0.337	1	0	17	646.496	0
0.338	1	0	18	372.519	0
0.339	1	0	19	242.537	0
0.34	1	0	20	5332.46	0
0.341	1	0	21	495.874	0
0.641	1	0	1	239	0
0.642	1	0	2	151.493	0
0.643	1	0	3	180.824	0
0.644	1	0	4	213.475	0
0.645	1	0	5	251.989	0
0.646	1	0	6	5324.31	0
0.647	1	0	7	150.946	0
0.648	1	0	8	236.827	0
0.649	1	0	9	181.127	0
0.65	1	0	10	1221.92	0
0.651	1	0	11	214.227	0
0.652	1	0	12	182.388	0
0.653	1	0	13	217.902	0
0.654	1	0	14	158.403	0
0.655	1	0	15	188.863	0
0.656	1	0	16	629.727	0
0.657	1	0	17	648.924	0
0.658	1	0	18	373.661	0
0.659	1	0	19	242.72	0
0.66	1	0	20	5333.15	0
0.661	1	0	21	495.69	0
0.961	1	0	1	239.23	0
0.962	1	0	2	151.494	0
0.963	1	0	3	180.366	0
0.964	1	0	4	213.544	0
0.965	1	0	5	251.421	0
0.966	1	0	6	5324.3	0
0.967	1	0	7	150.697	0
0.968	1	0	8	236.503	0
0.969	1	0	9	181.463	0
0.97	1	0	10	1225.66	0
0.971	1	0	11	214.779	0
0.972	1	0	12	182.744	0
0.973	1	0	13	217.914	0
0.974	1	0	14	158.311	0
0.975	1	0	15	189.053	0
0.976	1	0	16	631.653	0
0.977	1	0	17	651.365	0
0.978	1	0	18	374.81	0
0.979	1	0	19	242.902	0
0.98	1	0	20	5333.73	0
0.981	1	0	21	495.504	0
1.281	1	0	1	239.46	0
1.282	1	0	2	151.494	0
1.283	1	0	3	179.91	0
1.284	1	0	4	213.612	0
1.285	1	0	5	250.854	0
1.286	1	0	6	5324.3	0
1.287	1	0	7	150.447	0
1.288	1	0	8	236.179	0
1.289	1	0	9	181.8	0
1.29	1	0	10	1229.39	0
1.291	1	0	11	215.333	0
1.292	1	0	12	183.101	0
1.293	1	0	13	217.925	0
1.294	1	0	14	158.217	0
1.295	1	0	15	189.242	0
1.296	1	0	16	633.585	0
1.297	1	0	17	653.819	0
1.298	1	0	18	375.963	0
1.299	1	0	19	243.083	0
1.3	1	0	20	5333.95	0
1.301	1	0	21	495.317	0
1.601	1	0	1	239.689	0
1.602	1	0	2	151.494	0
1.603	1	0	3	179.456	0
1.604	1	0	4	213.68	0
1.605	1	0	5	250.288	0
1.606	1	0	6	5324.3	0
1.607	1	0	7	150.199	0
